EXECUTING create production order with SAP params: {PLANT=1000, QUANTITY=400, PLANNING_PLANT=1000, BASIC_END_DATE=2019-05-27, ORDER_TYPE=PP01, MATERIAL=000000000050066346}	 | 	(LOG: {required_material={DPC1015,DPC1018}, activity=create production order, material={000000000050066346}, purchase_order={}, amount_material=400, time=2019-05-20 09:01:47, purchase_requisition={}, production_order={990001}})
EXECUTING release purchase order with SAP params: {PURCHASEORDER=SAMPLE_PURORD_7647, PO_REL_CODE=CE}	 | 	(LOG: {required_material={}, activity=release purchase order, material={}, purchase_order={70050}, amount_material=0, time=2019-05-29 10:26:20, purchase_requisition={}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_5063, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-29 10:32:00, purchase_requisition={300108}, production_order={}})
EXECUTING convert to purchase order with SAP params: {PREQ_NO=SAMPLE_RURREQ_1398, CREAT_DATE=2019-05-29, PURCH_ORG=1000, PUR_GROUP=001, COMP_CODE=1000}	 | 	(LOG: {required_material={DPC1018}, activity=convert to purchase order, material={}, purchase_order={70056}, amount_material=0, time=2019-05-29 10:48:14, purchase_requisition={300021}, production_order={}})
EXECUTING release purchase order with SAP params: {PURCHASEORDER=SAMPLE_PURORD_5481, PO_REL_CODE=CE}	 | 	(LOG: {required_material={}, activity=release purchase order, material={}, purchase_order={70032}, amount_material=0, time=2019-05-29 10:48:59, purchase_requisition={}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_932, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-29 10:52:26, purchase_requisition={300109}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_5789, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-05-29 10:53:07, purchase_requisition={300077}, production_order={}})
EXECUTING goods receipt for purchase order with SAP params: {PLANT=1000, PO_NUMBER=SAMPLE_PURORD_7223, ENTRY_QNT=0, PSTNG_DATE=2019-05-29, PO_ITEM=10, STGE_LOC=0001, DOC_DATE=2019-05-29}	 | 	(LOG: {required_material={DPC1015}, activity=goods receipt for purchase order, material={}, purchase_order={70028}, amount_material=0, time=2019-05-29 11:07:13, purchase_requisition={}, production_order={}})
EXECUTING release purchase order with SAP params: {PURCHASEORDER=SAMPLE_PURORD_7890, PO_REL_CODE=CE}	 | 	(LOG: {required_material={}, activity=release purchase order, material={}, purchase_order={70035}, amount_material=0, time=2019-05-29 11:16:06, purchase_requisition={}, production_order={}})
EXECUTING release purchase order with SAP params: {PURCHASEORDER=SAMPLE_PURORD_9095, PO_REL_CODE=CE}	 | 	(LOG: {required_material={}, activity=release purchase order, material={}, purchase_order={70036}, amount_material=0, time=2019-05-29 11:21:13, purchase_requisition={}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_7771, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-29 11:22:09, purchase_requisition={300085}, production_order={}})
EXECUTING goods receipt for purchase order with SAP params: {PLANT=1000, PO_NUMBER=SAMPLE_PURORD_6966, ENTRY_QNT=0, PSTNG_DATE=2019-05-29, PO_ITEM=10, STGE_LOC=0001, DOC_DATE=2019-05-29}	 | 	(LOG: {required_material={req1}, activity=goods receipt for purchase order, material={}, purchase_order={70018}, amount_material=0, time=2019-05-29 11:28:51, purchase_requisition={}, production_order={}})
EXECUTING convert to purchase order with SAP params: {PREQ_NO=SAMPLE_RURREQ_4008, CREAT_DATE=2019-05-29, PURCH_ORG=1000, PUR_GROUP=001, COMP_CODE=1000}	 | 	(LOG: {required_material={req1}, activity=convert to purchase order, material={}, purchase_order={70057}, amount_material=0, time=2019-05-29 11:33:39, purchase_requisition={300081}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_1255, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-29 11:38:55, purchase_requisition={300112}, production_order={}})
EXECUTING convert to purchase order with SAP params: {PREQ_NO=SAMPLE_RURREQ_5824, CREAT_DATE=2019-05-29, PURCH_ORG=1000, PUR_GROUP=001, COMP_CODE=1000}	 | 	(LOG: {required_material={DPC1018}, activity=convert to purchase order, material={}, purchase_order={70058}, amount_material=0, time=2019-05-29 11:45:01, purchase_requisition={300045}, production_order={}})
EXECUTING create production order with SAP params: {PLANT=1000, QUANTITY=400, PLANNING_PLANT=1000, BASIC_END_DATE=2019-06-05, ORDER_TYPE=PP01, MATERIAL=000000000050066346}	 | 	(LOG: {required_material={DPC1015,DPC1018}, activity=create production order, material={000000000050066346}, purchase_order={}, amount_material=400, time=2019-05-29 11:48:27, purchase_requisition={}, production_order={990059}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={DPC1018}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-29 11:48:27, purchase_requisition={300116}, production_order={}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={DPC1015}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-29 11:48:27, purchase_requisition={300117}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_6166, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-05-29 12:07:46, purchase_requisition={300110}, production_order={}})
EXECUTING convert to purchase order with SAP params: {PREQ_NO=SAMPLE_RURREQ_4222, CREAT_DATE=2019-05-29, PURCH_ORG=1000, PUR_GROUP=001, COMP_CODE=1000}	 | 	(LOG: {required_material={DPC1018}, activity=convert to purchase order, material={}, purchase_order={70059}, amount_material=0, time=2019-05-29 12:14:05, purchase_requisition={300063}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_5063, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-05-29 12:25:29, purchase_requisition={300108}, production_order={}})
EXECUTING release purchase order with SAP params: {PURCHASEORDER=SAMPLE_PURORD_6110, PO_REL_CODE=CE}	 | 	(LOG: {required_material={}, activity=release purchase order, material={}, purchase_order={70053}, amount_material=0, time=2019-05-29 12:40:15, purchase_requisition={}, production_order={}})
EXECUTING release purchase order with SAP params: {PURCHASEORDER=SAMPLE_PURORD_5778, PO_REL_CODE=CE}	 | 	(LOG: {required_material={}, activity=release purchase order, material={}, purchase_order={70033}, amount_material=0, time=2019-05-29 12:46:55, purchase_requisition={}, production_order={}})
EXECUTING release purchase order with SAP params: {PURCHASEORDER=SAMPLE_PURORD_6325, PO_REL_CODE=CE}	 | 	(LOG: {required_material={}, activity=release purchase order, material={}, purchase_order={70057}, amount_material=0, time=2019-05-29 12:50:05, purchase_requisition={}, production_order={}})
EXECUTING convert to purchase order with SAP params: {PREQ_NO=SAMPLE_RURREQ_5090, CREAT_DATE=2019-05-29, PURCH_ORG=1000, PUR_GROUP=001, COMP_CODE=1000}	 | 	(LOG: {required_material={req2}, activity=convert to purchase order, material={}, purchase_order={70060}, amount_material=0, time=2019-05-29 12:58:46, purchase_requisition={300084}, production_order={}})
EXECUTING convert to purchase order with SAP params: {PREQ_NO=SAMPLE_RURREQ_1084, CREAT_DATE=2019-05-29, PURCH_ORG=1000, PUR_GROUP=001, COMP_CODE=1000}	 | 	(LOG: {required_material={DPC1015}, activity=convert to purchase order, material={}, purchase_order={70061}, amount_material=0, time=2019-05-29 13:01:12, purchase_requisition={300071}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_4236, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-05-29 13:33:11, purchase_requisition={300027}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_1854, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-29 13:51:02, purchase_requisition={300113}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_2861, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-29 13:54:44, purchase_requisition={300106}, production_order={}})
EXECUTING create production order with SAP params: {PLANT=1000, QUANTITY=400, PLANNING_PLANT=1000, BASIC_END_DATE=2019-06-05, ORDER_TYPE=PP01, MATERIAL=other_id}	 | 	(LOG: {required_material={req1,req2}, activity=create production order, material={other_id}, purchase_order={}, amount_material=400, time=2019-05-29 13:56:42, purchase_requisition={}, production_order={990060}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req1}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-29 13:56:42, purchase_requisition={300118}, production_order={}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req2}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-29 13:56:42, purchase_requisition={300119}, production_order={}})
EXECUTING goods receipt for purchase order with SAP params: {PLANT=1000, PO_NUMBER=SAMPLE_PURORD_7820, ENTRY_QNT=0, PSTNG_DATE=2019-05-29, PO_ITEM=10, STGE_LOC=0001, DOC_DATE=2019-05-29}	 | 	(LOG: {required_material={req2}, activity=goods receipt for purchase order, material={}, purchase_order={70019}, amount_material=0, time=2019-05-29 14:12:47, purchase_requisition={}, production_order={}})
EXECUTING release purchase order with SAP params: {PURCHASEORDER=SAMPLE_PURORD_7511, PO_REL_CODE=CE}	 | 	(LOG: {required_material={}, activity=release purchase order, material={}, purchase_order={70027}, amount_material=0, time=2019-05-29 14:13:18, purchase_requisition={}, production_order={}})
EXECUTING goods receipt for purchase order with SAP params: {PLANT=1000, PO_NUMBER=SAMPLE_PURORD_5778, ENTRY_QNT=0, PSTNG_DATE=2019-05-29, PO_ITEM=10, STGE_LOC=0001, DOC_DATE=2019-05-29}	 | 	(LOG: {required_material={req1}, activity=goods receipt for purchase order, material={}, purchase_order={70033}, amount_material=0, time=2019-05-29 14:18:59, purchase_requisition={}, production_order={}})
EXECUTING convert to purchase order with SAP params: {PREQ_NO=SAMPLE_RURREQ_4809, CREAT_DATE=2019-05-29, PURCH_ORG=1000, PUR_GROUP=001, COMP_CODE=1000}	 | 	(LOG: {required_material={req1}, activity=convert to purchase order, material={}, purchase_order={70062}, amount_material=0, time=2019-05-29 14:32:30, purchase_requisition={300037}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_2054, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-05-29 14:35:53, purchase_requisition={300097}, production_order={}})
EXECUTING convert to purchase order with SAP params: {PREQ_NO=SAMPLE_RURREQ_4236, CREAT_DATE=2019-05-29, PURCH_ORG=1000, PUR_GROUP=001, COMP_CODE=1000}	 | 	(LOG: {required_material={req1}, activity=convert to purchase order, material={}, purchase_order={70063}, amount_material=0, time=2019-05-29 14:40:11, purchase_requisition={300027}, production_order={}})
EXECUTING goods issue for production order with SAP params: {ORDERID=SAMPLE_PRODORD_9058, PLANT=1000, ENTRY_QNT0=0, MATERIAL0=req1, RESERV_NO=SAMPLE_RES_9541, PSTNG_DATE=2019-05-29, STGE_LOC=0001, DOC_DATE=2019-05-29}	 | 	(LOG: {required_material={req1}, activity=goods issue for production order, material={}, purchase_order={}, amount_material=0, time=2019-05-29 14:43:34, purchase_requisition={}, production_order={990027}})
EXECUTING confirm production order with SAP params: {SCRAP=0, ORDERID=SAMPLE_PRODORD_9058, FIN_CONF=X, YIELD=400, POSTG_DATE=2019-05-29}	 | 	(LOG: {required_material={}, activity=confirm production order, material={other_id}, purchase_order={}, amount_material=400, time=2019-05-29 14:43:34, purchase_requisition={}, production_order={990027}})
EXECUTING goods issue for production order with SAP params: {ORDERID=SAMPLE_PRODORD_2462, PLANT=1000, ENTRY_QNT0=0, MATERIAL0=req2, RESERV_NO=SAMPLE_RES_7932, PSTNG_DATE=2019-05-29, STGE_LOC=0001, DOC_DATE=2019-05-29}	 | 	(LOG: {required_material={req2}, activity=goods issue for production order, material={}, purchase_order={}, amount_material=0, time=2019-05-29 15:11:36, purchase_requisition={}, production_order={990015}})
EXECUTING release purchase order with SAP params: {PURCHASEORDER=SAMPLE_PURORD_5397, PO_REL_CODE=CE}	 | 	(LOG: {required_material={}, activity=release purchase order, material={}, purchase_order={70030}, amount_material=0, time=2019-05-29 15:37:53, purchase_requisition={}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_1255, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-05-29 15:55:27, purchase_requisition={300112}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_7771, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-05-29 15:56:10, purchase_requisition={300085}, production_order={}})
EXECUTING release purchase order with SAP params: {PURCHASEORDER=SAMPLE_PURORD_8277, PO_REL_CODE=CE}	 | 	(LOG: {required_material={}, activity=release purchase order, material={}, purchase_order={70054}, amount_material=0, time=2019-05-29 16:05:31, purchase_requisition={}, production_order={}})
EXECUTING create production order with SAP params: {PLANT=1000, QUANTITY=400, PLANNING_PLANT=1000, BASIC_END_DATE=2019-06-05, ORDER_TYPE=PP01, MATERIAL=000000000050066346}	 | 	(LOG: {required_material={DPC1015,DPC1018}, activity=create production order, material={000000000050066346}, purchase_order={}, amount_material=400, time=2019-05-29 16:13:11, purchase_requisition={}, production_order={990061}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={DPC1015}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-29 16:13:11, purchase_requisition={300120}, production_order={}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={DPC1018}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-29 16:13:11, purchase_requisition={300121}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_4868, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-29 16:42:45, purchase_requisition={300120}, production_order={}})
EXECUTING goods receipt for purchase order with SAP params: {PLANT=1000, PO_NUMBER=SAMPLE_PURORD_9095, ENTRY_QNT=0, PSTNG_DATE=2019-05-29, PO_ITEM=10, STGE_LOC=0001, DOC_DATE=2019-05-29}	 | 	(LOG: {required_material={DPC1018}, activity=goods receipt for purchase order, material={}, purchase_order={70036}, amount_material=0, time=2019-05-29 16:46:50, purchase_requisition={}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_4476, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-29 16:58:58, purchase_requisition={300119}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_1814, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-05-29 16:59:34, purchase_requisition={300100}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_1834, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-29 17:06:08, purchase_requisition={300115}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_3102, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-29 17:18:49, purchase_requisition={300118}, production_order={}})
EXECUTING goods issue for production order with SAP params: {ORDERID=SAMPLE_PRODORD_5787, PLANT=1000, ENTRY_QNT0=0, MATERIAL0=req2, RESERV_NO=SAMPLE_RES_9784, PSTNG_DATE=2019-05-29, STGE_LOC=0001, DOC_DATE=2019-05-29}	 | 	(LOG: {required_material={req2}, activity=goods issue for production order, material={}, purchase_order={}, amount_material=0, time=2019-05-29 17:23:18, purchase_requisition={}, production_order={990021}})
EXECUTING confirm production order with SAP params: {SCRAP=0, ORDERID=SAMPLE_PRODORD_5787, FIN_CONF=X, YIELD=400, POSTG_DATE=2019-05-29}	 | 	(LOG: {required_material={}, activity=confirm production order, material={other_id}, purchase_order={}, amount_material=400, time=2019-05-29 17:23:18, purchase_requisition={}, production_order={990021}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_9558, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-29 17:41:58, purchase_requisition={300082}, production_order={}})
EXECUTING create production order with SAP params: {PLANT=1000, QUANTITY=400, PLANNING_PLANT=1000, BASIC_END_DATE=2019-06-05, ORDER_TYPE=PP01, MATERIAL=000000000050066346}	 | 	(LOG: {required_material={DPC1015,DPC1018}, activity=create production order, material={000000000050066346}, purchase_order={}, amount_material=400, time=2019-05-29 17:46:09, purchase_requisition={}, production_order={990062}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={DPC1018}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-29 17:46:09, purchase_requisition={300122}, production_order={}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={DPC1015}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-29 17:46:09, purchase_requisition={300123}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_474, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-29 18:18:51, purchase_requisition={300098}, production_order={}})
EXECUTING convert to purchase order with SAP params: {PREQ_NO=SAMPLE_RURREQ_7202, CREAT_DATE=2019-05-29, PURCH_ORG=1000, PUR_GROUP=001, COMP_CODE=1000}	 | 	(LOG: {required_material={DPC1018}, activity=convert to purchase order, material={}, purchase_order={70064}, amount_material=0, time=2019-05-29 18:27:41, purchase_requisition={300019}, production_order={}})
EXECUTING goods receipt for purchase order with SAP params: {PLANT=1000, PO_NUMBER=SAMPLE_PURORD_7647, ENTRY_QNT=0, PSTNG_DATE=2019-05-29, PO_ITEM=10, STGE_LOC=0001, DOC_DATE=2019-05-29}	 | 	(LOG: {required_material={req1}, activity=goods receipt for purchase order, material={}, purchase_order={70050}, amount_material=0, time=2019-05-29 18:33:29, purchase_requisition={}, production_order={}})
EXECUTING release purchase order with SAP params: {PURCHASEORDER=SAMPLE_PURORD_5711, PO_REL_CODE=CE}	 | 	(LOG: {required_material={}, activity=release purchase order, material={}, purchase_order={70061}, amount_material=0, time=2019-05-29 18:36:33, purchase_requisition={}, production_order={}})
EXECUTING convert to purchase order with SAP params: {PREQ_NO=SAMPLE_RURREQ_3345, CREAT_DATE=2019-05-29, PURCH_ORG=1000, PUR_GROUP=001, COMP_CODE=1000}	 | 	(LOG: {required_material={DPC1018}, activity=convert to purchase order, material={}, purchase_order={70065}, amount_material=0, time=2019-05-29 18:39:16, purchase_requisition={300087}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_7374, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-29 19:05:17, purchase_requisition={300104}, production_order={}})
EXECUTING create production order with SAP params: {PLANT=1000, QUANTITY=400, PLANNING_PLANT=1000, BASIC_END_DATE=2019-06-05, ORDER_TYPE=PP01, MATERIAL=000000000050066346}	 | 	(LOG: {required_material={DPC1015,DPC1018}, activity=create production order, material={000000000050066346}, purchase_order={}, amount_material=400, time=2019-05-29 19:58:01, purchase_requisition={}, production_order={990063}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={DPC1018}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-29 19:58:01, purchase_requisition={300124}, production_order={}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={DPC1015}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-29 19:58:01, purchase_requisition={300125}, production_order={}})
EXECUTING goods receipt for purchase order with SAP params: {PLANT=1000, PO_NUMBER=SAMPLE_PURORD_5412, ENTRY_QNT=0, PSTNG_DATE=2019-05-29, PO_ITEM=10, STGE_LOC=0001, DOC_DATE=2019-05-29}	 | 	(LOG: {required_material={req2}, activity=goods receipt for purchase order, material={}, purchase_order={70049}, amount_material=0, time=2019-05-29 21:46:54, purchase_requisition={}, production_order={}})
EXECUTING create production order with SAP params: {PLANT=1000, QUANTITY=400, PLANNING_PLANT=1000, BASIC_END_DATE=2019-06-05, ORDER_TYPE=PP01, MATERIAL=other_id}	 | 	(LOG: {required_material={req1,req2}, activity=create production order, material={other_id}, purchase_order={}, amount_material=400, time=2019-05-29 23:35:37, purchase_requisition={}, production_order={990064}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req2}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-29 23:35:37, purchase_requisition={300126}, production_order={}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req1}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-29 23:35:37, purchase_requisition={300127}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_7374, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-05-30 08:28:10, purchase_requisition={300104}, production_order={}})
EXECUTING release purchase order with SAP params: {PURCHASEORDER=SAMPLE_PURORD_2065, PO_REL_CODE=CE}	 | 	(LOG: {required_material={}, activity=release purchase order, material={}, purchase_order={70051}, amount_material=0, time=2019-05-30 08:40:22, purchase_requisition={}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_2861, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-05-30 09:24:31, purchase_requisition={300106}, production_order={}})
EXECUTING goods receipt for purchase order with SAP params: {PLANT=1000, PO_NUMBER=SAMPLE_PURORD_46, ENTRY_QNT=0, PSTNG_DATE=2019-05-30, PO_ITEM=10, STGE_LOC=0001, DOC_DATE=2019-05-30}	 | 	(LOG: {required_material={DPC1018}, activity=goods receipt for purchase order, material={}, purchase_order={70031}, amount_material=0, time=2019-05-30 09:25:42, purchase_requisition={}, production_order={}})
EXECUTING create production order with SAP params: {PLANT=1000, QUANTITY=400, PLANNING_PLANT=1000, BASIC_END_DATE=2019-06-06, ORDER_TYPE=PP01, MATERIAL=000000000050066346}	 | 	(LOG: {required_material={DPC1015,DPC1018}, activity=create production order, material={000000000050066346}, purchase_order={}, amount_material=400, time=2019-05-30 09:34:19, purchase_requisition={}, production_order={990065}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={DPC1018}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-30 09:34:19, purchase_requisition={300128}, production_order={}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={DPC1015}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-30 09:34:19, purchase_requisition={300129}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_6832, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-05-30 09:41:14, purchase_requisition={300042}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_7411, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-30 09:57:57, purchase_requisition={300041}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_2217, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-30 09:59:10, purchase_requisition={300065}, production_order={}})
EXECUTING release purchase order with SAP params: {PURCHASEORDER=SAMPLE_PURORD_8198, PO_REL_CODE=CE}	 | 	(LOG: {required_material={}, activity=release purchase order, material={}, purchase_order={70043}, amount_material=0, time=2019-05-30 09:59:49, purchase_requisition={}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_8610, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-05-30 10:05:18, purchase_requisition={300060}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_8386, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-30 10:16:28, purchase_requisition={300111}, production_order={}})
EXECUTING goods receipt for purchase order with SAP params: {PLANT=1000, PO_NUMBER=SAMPLE_PURORD_6018, ENTRY_QNT=0, PSTNG_DATE=2019-05-30, PO_ITEM=10, STGE_LOC=0001, DOC_DATE=2019-05-30}	 | 	(LOG: {required_material={DPC1015}, activity=goods receipt for purchase order, material={}, purchase_order={70040}, amount_material=0, time=2019-05-30 10:22:02, purchase_requisition={}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_3079, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-30 10:38:11, purchase_requisition={300125}, production_order={}})
EXECUTING release purchase order with SAP params: {PURCHASEORDER=SAMPLE_PURORD_2204, PO_REL_CODE=CE}	 | 	(LOG: {required_material={}, activity=release purchase order, material={}, purchase_order={70009}, amount_material=0, time=2019-05-30 10:51:53, purchase_requisition={}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_4476, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-05-30 10:52:28, purchase_requisition={300119}, production_order={}})
